nodenumber     x-coordinate     y-coordinate     z-coordinate prandtl-number-lam      z-vorticity turb-reynolds-number-rey cell-reynolds-number dynamic-pressure velocity-magnitude       x-velocity          density   nusselt-number wall-adjacent-temperature wall-temperature      temperature 
         1  0.000000000E+00  3.025122331E-12 -8.991895676E-04  1.106156125E+00  8.816371498E-02  2.202565764E-03  1.721809490E+01  4.922056728E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         2  2.040816309E-03 -1.896557859E-12 -8.991897408E-04  1.106156125E+00  1.316926195E-01  1.723544277E-03  1.495631108E+01  3.798540724E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         3  4.081632618E-03  2.516534087E-12 -8.991897406E-04  1.106156125E+00  1.362146149E-01  1.206838637E-03  1.212630939E+01  2.446273298E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         4  6.122448946E-03  2.516534087E-12 -8.991897406E-04  1.106156125E+00  9.899611891E-02  1.143189282E-03  1.134268583E+01  2.136404176E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         5  8.163265274E-03  2.516534087E-12 -8.991897406E-04  1.106156125E+00  8.888260819E-02  1.101567504E-03  1.100658918E+01  2.011188504E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         6  1.020408160E-02  2.521534044E-12 -8.991897406E-04  1.106156125E+00  8.657822315E-02  1.075146297E-03  1.079208290E+01  1.933474171E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         7  1.224489793E-02  2.521534044E-12 -8.991897406E-04  1.106156125E+00  8.501848024E-02  1.057245725E-03  1.063847799E+01  1.878744636E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         8  1.428571426E-02  2.521534044E-12 -8.991897406E-04  1.106156125E+00  8.404665205E-02  1.045415719E-03  1.053890739E+01  1.843709045E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
         9  1.632653059E-02  2.521534044E-12 -8.991897406E-04  1.106156125E+00  8.342137919E-02  1.037627285E-03  1.047192831E+01  1.820334858E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
        10  1.836734691E-02  2.521534044E-12 -8.991897406E-04  1.106156125E+00  8.299218756E-02  1.032589933E-03  1.042722613E+01  1.804819752E-01  0.000000000E+00  0.000000000E+00  1.073730011E+02  0.000000000E+00  7.230000000E+02  7.230000000E+02  7.230000000E+02 
