nodenumber     x-coordinate     y-coordinate     z-coordinate prandtl-number-lam      z-vorticity turb-reynolds-number-rey cell-reynolds-number dynamic-pressure velocity-magnitude       x-velocity          density   nusselt-number wall-adjacent-temperature wall-temperature      temperature 
         1  0.000000000E+00  3.025122331E-12 -8.991895676E-04  6.398694587E+00  3.703676549E-02  5.679488482E-05  4.148050845E-01  8.065863698E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         2  2.040816309E-03 -1.896557859E-12 -8.991897408E-04  6.398694587E+00  2.083192013E-02  3.011598195E-05  3.189120283E-01  5.198488399E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         3  4.081632618E-03  2.516534087E-12 -8.991897406E-04  6.398694587E+00  3.590984682E-03  3.664074574E-06  2.007380525E-01  1.911873618E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         4  6.122448946E-03  2.516534087E-12 -8.991897406E-04  6.398694587E+00  3.181745271E-03  4.032638217E-06  1.794275469E-01  1.508941282E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         5  8.163265274E-03  2.516534087E-12 -8.991897406E-04  6.398694587E+00  3.138469830E-03  4.234049547E-06  1.776952713E-01  1.480245150E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         6  1.020408160E-02  2.521534044E-12 -8.991897406E-04  6.398694587E+00  3.095992456E-03  4.340307670E-06  1.756503397E-01  1.446057237E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         7  1.224489793E-02  2.521534044E-12 -8.991897406E-04  6.398694587E+00  3.096059989E-03  4.416038778E-06  1.756906130E-01  1.446718054E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         8  1.428571426E-02  2.521534044E-12 -8.991897406E-04  6.398694587E+00  3.088354163E-03  4.471496104E-06  1.753519044E-01  1.441131096E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
         9  1.632653059E-02  2.521534044E-12 -8.991897406E-04  6.398694587E+00  3.091518614E-03  4.520005847E-06  1.756104498E-01  1.445380304E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
        10  1.836734691E-02  2.521534044E-12 -8.991897406E-04  6.398694587E+00  3.094337682E-03  4.563992785E-06  1.758576097E-01  1.449455083E-03  0.000000000E+00  0.000000000E+00  6.498533325E+02  0.000000000E+00  4.730000000E+02  4.730000000E+02  4.730000000E+02 
