model_name,task,split_method,train_cases,test_cases,MAE_T,RMSE_T,R2_T,MAE_u,RMSE_u,R2_u,MAE_Tw,RMSE_Tw,R2_Tw,MAE_Nu,RMSE_Nu,R2_Nu,relative_L2,training_time,parameter_count,notes
resnet_mlp,field,case_split,2.0,1.0,52.817169189453125,76.29229743845377,0.9099481105804443,0.43858927488327026,0.592784523271095,0.24600672721862793,,,,,,,0.121229387819767,1.6213970184326172,532995,
property_pinn,field,,,,164.5682830810547,195.76891671049313,0.4134616255760193,0.42632678151130676,0.5151016006431527,0.41727983951568604,,,,,,,0.29870492219924927,0.06267905235290527,38917,
rans_pinn,field,,,,164.9996337890625,195.92478028889047,0.41252726316452026,0.4277418255805969,0.5161810391067125,0.41483497619628906,,,,,,,0.2988941967487335,0.05117225646972656,34307,
deeponet,field,,,,189.07896423339844,224.69655753649187,0.2191411852836609,0.5603166222572327,0.6380144287618333,0.13207626342773438,,,,,,,0.34416547417640686,0.08270597457885742,108227,
mlp,field,case_split,2.0,1.0,213.98464965820312,247.60982411851109,0.029524028301239014,0.5543369054794312,0.6500444607934326,-0.0004394054412841797,,,,,,,0.3973848521709442,0.05345296859741211,35075,
pinn,field,case_split,2.0,1.0,226.2386016845703,268.92635202318866,-0.14476346969604492,0.5507211685180664,0.6376914568984586,0.03722262382507324,,,,,,,0.4165646731853485,0.05944108963012695,50819,Dimensional residuals use scaler chain rule. Diameter/heat-flux unit assumptions still need confirmation.
unet,grid,,,,,,,,,,,,,,,,2.259932041168213,0.1565239429473877,1929347,
fno,grid,,,,,,,,,,,,,,,,2.6647186279296875,0.1354842185974121,595683,
cnn,grid,,,,,,,,,,,,,,,,3.261038303375244,0.04237079620361328,20547,
random_forest,regression,case_split,2.0,1.0,30.512121735757237,59.8547049194672,0.9451715980384353,0.09993303434555005,0.1990067647185928,0.9130219060597107,,,,,,,0.08406209120436196,0.16022777557373047,0,
transformer,sequence,,,,,,,,,,,,,,,,1.8668262958526611,0.10515999794006348,867524,
tcn,sequence,,,,,,,,,,,,,,,,2.779473304748535,0.05695009231567383,112516,
gru,sequence,,,,,,,,,,,,,,,,3.056929588317871,0.13541507720947266,87652,
lstm,sequence,,,,,,,,,,,,,,,,3.6471872329711914,0.11949300765991211,116740,
